id,first_name,last_name,email,password,gross_income,fed_tax,on_tax,cpp,ei,net_income
1,Ardisj,Rosekilly,arosekilly0@census.gov,AzFVuMv8,"$220,136.00","$50,888.00","$21,516.00","$3,500.00",$953.00,"$143,279.00"
2,Wain,Tease,wtease1@nps.gov,F9kGvfb8Y,"$157,476.00","$32,717.00","$13,895.00","$3,500.00",$953.00,"$106,411.00"
3,Annabelle,Bellin,abellin2@baidu.com,97F71VXQgW9A,"$110,544.00","$20,459.00","$8,583.00","$3,500.00",$953.00,"$77,049.00"
4,Victoir,Coraini,vcoraini3@va.gov,5sOlDKN8yf,"$39,951.00","$5,993.00","$2,018.00","$2,277.00",$631.00,"$29,032.00"
5,Eveline,Newlove,enewlove4@time.com,KaPWyk,"$269,535.00","$67,127.00","$28,017.00","$3,500.00",$953.00,"$169,938.00"
6,Randa,Coltart,rcoltart5@biglobe.ne.jp,gJA5wkAs4gR8,"$292,091.00","$74,571.00","$30,986.00","$3,500.00",$953.00,"$182,082.00"
7,Tiena,Trembley,ttrembley6@spotify.com,ws66tMe,"$233,588.00","$55,265.00","$23,287.00","$3,500.00",$953.00,"$150,584.00"
8,Annabel,Wooster,awooster7@cnbc.com,ptDPOIgenfNU,"$277,529.00","$69,765.00","$29,069.00","$3,500.00",$953.00,"$174,242.00"
9,Cassandre,Christoffersen,cchristoffersen8@fastcompany.com,uEAUD8bW1hj,"$122,499.00","$23,567.00","$9,917.00","$3,500.00",$953.00,"$84,562.00"
10,Geoffry,Oswald,goswald9@jimdo.com,8WAZISHl,"$228,938.00","$53,730.00","$22,675.00","$3,500.00",$953.00,"$148,081.00"
11,Marrilee,Skirven,mskirvena@parallels.com,iTi8nUC,"$152,522.00","$31,373.00","$13,293.00","$3,500.00",$953.00,"$103,403.00"
12,Archambault,Owtram,aowtramb@blogspot.com,oSxA96VhS,"$121,350.00","$23,269.00","$9,789.00","$3,500.00",$953.00,"$83,840.00"
13,Mabelle,Mehew,mmehewc@bravesites.com,WHqxdBRTW82,"$284,231.00","$71,977.00","$29,951.00","$3,500.00",$953.00,"$177,850.00"
14,Rusty,Thurley,rthurleyd@drupal.org,91iJsq7trb,"$71,887.00","$11,976.00","$4,682.00","$3,500.00",$953.00,"$50,776.00"
15,Roosevelt,Bahl,rbahle@bing.com,HaygVcGP,"$241,050.00","$57,727.00","$24,269.00","$3,500.00",$953.00,"$154,602.00"
16,Amelia,Von Welden,avonweldenf@nydailynews.com,gmjehIPXrr,"$122,658.00","$23,609.00","$9,935.00","$3,500.00",$953.00,"$84,662.00"
17,Ingeborg,Lavender,ilavenderg@nationalgeographic.com,GTAHEz,"$232,572.00","$54,929.00","$23,153.00","$3,500.00",$953.00,"$150,037.00"
18,Umeko,Matisse,umatisseh@usa.gov,ZDfFs6IM2UrA,"$284,729.00","$72,141.00","$30,017.00","$3,500.00",$953.00,"$178,119.00"
19,Gay,McGhee,gmcgheei@huffingtonpost.com,9JeFMk,"$204,808.00","$46,443.00","$19,651.00","$3,500.00",$953.00,"$134,261.00"
20,Harald,Pyrah,hpyrahj@biblegateway.com,Fg36VxHF,"$226,442.00","$52,906.00","$22,346.00","$3,500.00",$953.00,"$146,737.00"
21,Luz,Rundle,lrundlek@slideshare.net,Aquc9gtIYN,"$266,810.00","$66,228.00","$27,659.00","$3,500.00",$953.00,"$168,471.00"
22,Fowler,Rain,frainl@live.com,wMIWTEJ9t,"$176,810.00","$38,324.00","$16,247.00","$3,500.00",$953.00,"$117,787.00"
23,Carver,Banaszkiewicz,cbanaszkiewiczm@webs.com,1SZJ5jvgm,"$168,839.00","$36,012.00","$15,277.00","$3,500.00",$953.00,"$113,097.00"
24,Dulcie,Treweke,dtreweken@godaddy.com,44jYOhRZ,"$116,511.00","$22,010.00","$9,249.00","$3,500.00",$953.00,"$80,799.00"
25,Nina,Hansel,nhanselo@cornell.edu,7CAO7pWE,"$271,763.00","$67,862.00","$28,310.00","$3,500.00",$953.00,"$171,138.00"
26,Tailor,Mooring,tmooringp@ftc.gov,PrPMZ69FycV,"$187,312.00","$41,369.00","$17,524.00","$3,500.00",$953.00,"$123,967.00"
27,Kahlil,Walczak,kwalczakq@aboutads.info,6LJ04SLHAbqr,"$169,864.00","$36,309.00","$15,402.00","$3,500.00",$953.00,"$113,700.00"
28,Rhiamon,Greene,rgreener@phpbb.com,4fDkg4,"$76,512.00","$12,924.00","$5,106.00","$3,500.00",$953.00,"$54,030.00"
